Liga,Zespół_1,Zespół_2,1,0,2,10,02,12,Data,Wygrany,Bramki_1,Bramki_2
liga-mistrzow,Arsenal,PSV Eindhoven,1.4,5.2,7.4,1.1,3.05,1.18,20.09. 21:00,1.0,4.0,0.0
liga-europy,Servette,Slavia P.,3.85,3.75,2.0,1.9,1.3,1.31,21.09. 18:45,2.0,0.0,2.0
liga-europy,Sheriff Tiraspol,AS Roma,7.4,4.3,1.49,2.72,1.11,1.24,21.09. 18:45,2.0,1.0,2.0
liga-europy,Leverkusen,Hacken,1.13,10.0,19.0,1.01,6.6,1.06,21.09. 18:45,1.0,4.0,0.0
liga-europy,Panathinaikos,Villarreal,2.95,3.45,2.45,1.59,1.43,1.34,21.09. 18:45,1.0,2.0,0.0
liga-europy,St.Gilloise,Toulouse,1.95,3.75,3.8,1.28,1.9,1.29,21.09. 18:45,0.0,1.0,1.0
liga-europy,FK Karabach,Molde,2.47,3.45,2.9,1.44,1.58,1.33,21.09. 18:45,1.0,1.0,0.0
liga-europy,LASK,Liverpool,9.2,6.2,1.3,3.7,1.07,1.14,21.09. 18:45,2.0,1.0,3.0
liga-europy,Rennes,Mac.Haifa,1.48,4.7,6.6,1.13,2.75,1.21,21.09. 18:45,1.0,3.0,0.0
liga-europy,West Ham,Backa Topola,1.12,9.4,21.0,-1.0,6.5,1.06,21.09. 21:00,1.0,3.0,1.0
liga-europy,Olympiakos,Freiburg,2.75,3.45,2.6,1.53,1.48,1.34,21.09. 21:00,2.0,2.0,3.0
liga-europy,Sparta P.,Aris Limassol,1.51,4.8,6.4,1.15,2.74,1.22,21.09. 21:00,1.0,3.0,2.0
liga-europy,A.Bergamo,Raków Cz.,1.27,6.15,11.0,1.05,3.95,1.14,21.09. 21:00,1.0,2.0,0.0
liga-europy,Ajax,Marseille,2.5,3.55,2.8,1.47,1.57,1.32,21.09. 21:00,0.0,3.0,3.0
liga-europy,Gl.Rangers,Betis,2.44,3.4,2.95,1.42,1.58,1.34,21.09. 21:00,1.0,1.0,0.0
liga-europy,Sturm Graz,Sporting L.,3.85,3.65,1.97,1.87,1.28,1.3,21.09. 21:00,2.0,1.0,2.0
liga-europy,Brighton,AEK Ateny,1.2,6.8,14.0,1.02,4.6,1.11,21.09. 21:00,2.0,2.0,3.0
1-niemcy,VFB Stuttgart,Darmstadt 98,1.42,5.2,7.4,1.1,3.05,1.18,22.09. 20:30,1.0,3.0,1.0
1-belgia,St.Liege,Westerlo,1.93,3.9,3.75,1.29,1.91,1.27,22.09. 20:45,0.0,0.0,0.0
1-francja,Monaco,Nice,2.18,3.75,3.2,1.38,1.73,1.3,22.09. 21:00,2.0,0.0,1.0
1-hiszpania,Alaves,Bilbao,3.85,3.2,2.14,1.75,1.28,1.38,22.09. 21:00,2.0,0.0,2.0
1-holandia,G.A.Eagles,Sittard,2.14,3.75,3.15,1.36,1.71,1.27,22.09. 20:00,1.0,3.0,0.0
1-portugalia,FC Famalicao,FC Arouca,2.04,3.4,3.75,1.27,1.78,1.32,22.09. 21:15,1.0,1.0,0.0
1-anglia,Burnley,Man.United,4.1,4.0,1.88,2.02,1.28,1.29,23.09. 21:00,2.0,0.0,1.0
1-belgia,Antwerp,Molenbeek,1.34,5.4,8.4,1.07,3.3,1.16,23.09. 20:45,0.0,0.0,0.0
1-francja,Brest,Lyon,2.65,3.45,2.75,1.5,1.53,1.35,23.09. 21:00,1.0,1.0,0.0
1-hiszpania,Almeria,Valencia,2.8,3.5,2.55,1.56,1.48,1.33,23.09. 21:00,0.0,2.0,2.0
1-holandia,Heerenveen,SBV Excelsior,1.67,4.2,4.7,1.19,2.22,1.23,23.09. 21:00,2.0,0.0,3.0
1-portugalia,FC Porto,Gil Vicente FC,1.24,6.6,11.0,1.04,4.15,1.11,23.09. 21:30,1.0,2.0,1.0
1-portugalia,Sporting L.,Rio Ave,1.2,6.8,13.0,1.02,4.45,1.1,25.09. 21:15,1.0,2.0,0.0
1-francja,Lille,Reims,1.97,3.7,3.8,1.29,1.87,1.3,26.09. 21:00,2.0,1.0,2.0
1-hiszpania,FC Sevilla,Almeria,1.68,4.1,5.2,1.19,2.3,1.27,26.09. 19:00,1.0,5.0,1.0
1-hiszpania,Mallorca,Barcelona,6.6,4.5,1.52,2.68,1.14,1.24,26.09. 21:30,0.0,2.0,2.0
1-belgia,Antwerp,Gent,2.1,3.65,3.35,1.33,1.75,1.29,27.09. 20:45,0.0,0.0,0.0
1-hiszpania,Villarreal,Girona,2.23,3.75,3.2,1.4,1.73,1.31,27.09. 19:00,2.0,1.0,2.0
1-hiszpania,Real M.,UD L.Palmas,1.21,7.0,17.0,1.03,4.95,1.13,27.09. 19:00,1.0,2.0,0.0
1-hiszpania,Bilbao,Getafe,1.67,3.7,6.2,1.15,2.32,1.32,27.09. 19:00,0.0,2.0,2.0
1-hiszpania,Cadiz,Vallecano,2.65,3.15,3.0,1.44,1.54,1.41,27.09. 21:30,0.0,0.0,0.0
1-hiszpania,Valencia,Real Sociedad,2.75,3.1,2.9,1.46,1.5,1.41,27.09. 21:30,2.0,0.0,1.0
1-holandia,PSV Eindhoven,G.A.Eagles,1.17,8.0,14.0,1.02,5.1,1.08,27.09. 18:45,1.0,3.0,0.0
1-holandia,Tw.Enschede,Vitesse Arnhem,1.35,5.4,8.0,1.08,3.2,1.16,27.09. 20:00,1.0,1.0,0.0
1-niemcy,Hoffenheim,Dortmund,2.95,4.1,2.2,1.72,1.43,1.26,29.09. 20:30,2.0,1.0,3.0
1-belgia,Kortrijk,Cercle Brugge,4.5,4.1,1.68,2.15,1.19,1.22,29.09. 20:45,1.0,2.0,1.0
